City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Descp
653,Mogadishu,SO,2.04,45.34,80.49,79,25,12.21,scattered clouds
654,Muzhi,RU,65.37,64.67,36.03,91,99,8.7,overcast clouds
655,Porto Belo,BR,-27.16,-48.55,73.0,60,75,14.99,broken clouds
656,Aksarka,RU,66.56,67.8,34.81,95,100,10.98,overcast clouds
657,Merauke,ID,-8.47,140.33,78.98,80,13,10.49,few clouds
658,Ola,RU,59.58,151.28,29.66,91,13,9.22,few clouds
659,Gorele,TR,41.03,39.0,66.2,93,0,4.7,clear sky
660,Beira,MZ,-19.84,34.84,80.6,78,20,16.11,few clouds
661,Vao,NC,-22.67,167.48,73.31,84,29,12.75,scattered clouds
662,Moussoro,TD,13.64,16.49,95.29,14,0,14.45,clear sky
663,Loikaw,MM,19.67,97.21,65.71,96,97,1.7,overcast clouds
664,Roald,NO,62.58,6.13,50.0,76,75,4.7,broken clouds
665,Labrea,BR,-7.26,-64.8,80.51,79,99,2.66,overcast clouds
666,Riyadh,SA,24.69,46.72,78.8,29,0,5.44,clear sky
667,Pereira Barreto,BR,-20.64,-51.11,86.83,48,100,5.06,overcast clouds
668,Barcelona,ES,41.39,2.16,71.01,77,0,11.41,clear sky
669,Nicoya,CR,10.15,-85.45,82.4,83,40,8.05,scattered clouds
670,Kourou,GF,5.16,-52.65,89.6,59,75,14.99,broken clouds
671,Port Hawkesbury,CA,45.62,-61.35,37.99,55,92,10.0,overcast clouds
672,Cacu,BR,-18.56,-51.13,86.36,48,69,5.28,broken clouds
673,Kysyl-Syr,RU,63.9,122.76,-9.9,89,57,2.35,broken clouds
674,Eufaula,US,31.89,-85.15,60.01,74,0,3.0,clear sky
675,Gwadar,PK,25.12,62.33,75.11,57,0,4.5,clear sky
676,Osakarovka,KZ,50.56,72.57,30.43,95,0,4.52,clear sky
677,Safaga,EG,26.73,33.94,79.23,68,0,5.32,clear sky
678,Cairns,AU,-16.92,145.77,75.2,83,75,2.91,broken clouds
679,Miyako,JP,39.64,141.95,45.39,73,0,6.38,clear sky
680,Mahajanga,MG,-15.72,46.32,86.0,58,20,3.36,few clouds
681,Santo Antonio Do Ica,BR,-3.1,-67.94,95.14,46,3,4.65,clear sky
682,Urengoy,RU,65.97,78.37,13.71,96,92,11.52,overcast clouds
683,Surt,LY,31.21,16.59,72.75,63,92,12.37,overcast clouds
684,Inirida,CO,3.87,-67.92,94.14,56,86,1.21,light rain
685,Boppard,DE,50.23,7.59,59.0,93,97,12.75,overcast clouds
686,Auburn,US,47.31,-122.23,54.0,81,75,14.99,broken clouds
687,Antofagasta,CL,-23.65,-70.4,68.0,63,0,9.17,clear sky
688,Brits,ZA,-25.63,27.78,89.6,16,0,6.93,clear sky
